chapter_num,chapter_name,folder_name,has_title,has_summary,has_historical,has_main,has_technical,has_topicmap,has_quote,has_phenomenon_extra,has_joke,has_exercises,has_cartoon,has_imagefigure,main_words,main_characters,total_tex_files,extra_files
1,BanachTarskiParadox,01_BanachTarskiParadox,V,V,V,V,V,V,V,X,X,X,V,X,2459,15473,8,
2,TopologicalInsulators,02_TopologicalInsulators,V,V,V,V,V,V,V,X,X,X,X,X,2561,17430,7,
3,GoldRelativity,03_GoldRelativity,V,V,V,V,V,V,V,X,X,X,X,X,2394,16224,7,
4,EMFieldsEnergyFlow,04_EMFieldsEnergyFlow,V,V,V,V,V,V,V,X,X,X,X,X,2945,19262,8,old_joke.tex
5,CircleWheel,05_CircleWheel,V,V,V,V,V,V,V,X,X,X,X,V,1474,10080,8,
6,GravityTimeDilation,06_GravityTimeDilation,V,V,V,V,V,V,V,X,X,V,X,X,1990,13348,8,
7,BilliardsConicsPorism,07_BilliardsConicsPorism,V,V,V,V,V,V,V,X,X,X,V,X,2413,15241,8,
8,BoundedPrimeGaps,08_BoundedPrimeGaps,V,V,V,V,V,V,V,X,X,V,X,X,1512,9343,8,
9,ArrowTheoremTopology,09_ArrowTheoremTopology,V,V,V,V,V,V,V,X,V,X,X,X,1872,12089,8,
10,SolarFusionQuantumTunneling,10_SolarFusionQuantumTunneling,V,V,V,V,V,V,V,X,X,X,X,V,2007,13668,8,
11,AcceleratingUniverse,11_AcceleratingUniverse,V,V,V,V,V,V,V,X,X,X,V,X,2079,14269,8,
12,GSMEncryptionOrder,12_GSMEncryptionOrder,V,V,V,V,V,V,V,X,X,V,X,X,2095,14108,8,
13,PoissonsSpot,13_PoissonsSpot,V,V,V,V,V,V,V,X,X,V,X,X,2127,15221,8,
14,CompactTwinParadox,14_CompactTwinParadox,V,V,V,V,V,V,V,X,X,X,X,X,1925,11704,7,
15,EnvelopeParadox,15_EnvelopeParadox,V,V,V,V,V,V,V,X,X,V,X,X,1183,7010,8,
16,ShoelaceKnotMechanics,16_ShoelaceKnotMechanics,V,V,V,V,V,V,V,X,X,V,X,V,638,4190,9,
17,TorricellisTrumpet,17_TorricellisTrumpet,V,V,V,V,V,V,V,X,X,V,X,X,797,4993,8,
18,SpeculativeExecutionAttacks,18_SpeculativeExecutionAttacks,V,V,V,V,V,V,V,X,V,X,X,X,1158,7794,8,
19,CosmicRayMuons,19_CosmicRayMuons,V,V,V,V,V,V,V,X,X,X,X,V,1340,9110,8,
20,ChineseRoomArgument,20_ChineseRoomArgument,V,V,V,V,V,V,V,X,X,V,X,X,1009,7174,8,
21,ExponentialMapsLieTheory,21_ExponentialMapsLieTheory,V,V,V,V,V,V,V,X,X,V,X,X,1318,8848,8,
22,MinecraftCreeper,22_MinecraftCreeper,V,V,V,V,V,V,V,X,X,X,X,V,1090,7098,8,
23,BlackHoleTimeDilationRedshift,23_BlackHoleTimeDilationRedshift,V,V,V,V,V,V,V,X,V,X,X,X,1646,10900,8,
24,FourDSpacetime,24_FourDSpacetime,V,V,V,V,V,V,V,X,X,V,X,X,1100,7818,8,
25,FireflyBioluminescence,25_FireflyBioluminescence,V,V,V,V,V,V,V,X,X,X,X,X,1880,13567,7,
26,ZKProofs,26_ZKProofs,V,V,V,V,V,V,V,X,X,X,X,V,1314,8715,8,
27,PlanetarySkyColors,27_PlanetarySkyColors,V,V,V,V,V,X,V,X,X,X,X,V,1129,7722,7,
28,NegativeTemp,28_NegativeTemp,V,V,V,V,V,V,V,X,X,X,X,V,1373,8487,8,
29,HatMonotile,29_HatMonotile,V,V,V,V,V,V,V,X,X,X,X,X,1061,7207,7,
30,SimpsonsParadox,30_SimpsonsParadox,V,V,V,V,V,V,V,X,X,X,X,X,1403,9568,7,
31,osmosis_Debye,31_osmosis_Debye,V,V,V,V,V,V,V,X,X,X,X,X,1800,12337,7,
32,AtomicClocks,32_AtomicClocks,V,V,V,V,V,V,V,X,X,V,X,X,1544,10693,8,
33,IncubationInequality,33_IncubationInequality,V,V,V,V,V,V,V,X,X,X,X,X,1567,10512,8,move_exercises.tex
34,BoltzmannBrain,34_BoltzmannBrain,V,V,V,V,V,V,V,X,X,X,X,V,1186,8465,8,
35,TreesFromAir,35_TreesFromAir,V,V,V,V,V,V,V,X,X,X,X,V,1096,7227,8,
36,qft_vs_gr,36_qft_vs_gr,V,V,V,V,V,V,V,X,X,X,X,X,2288,15946,7,
37,DarkMatterEvidence,37_DarkMatterEvidence,V,V,V,V,V,V,V,X,X,X,X,V,1621,10743,8,
38,ChristmasTruce1914,38_ChristmasTruce1914,V,V,V,V,V,V,V,X,X,X,X,V,1523,8740,8,
39,SuperpermutationsBreakthrough,39_SuperpermutationsBreakthrough,V,V,V,V,V,V,V,X,X,X,X,X,1640,10135,7,
40,BoomerangFlight,40_BoomerangFlight,V,V,V,V,V,V,V,X,X,V,X,X,1212,8452,8,
41,HoughTransfrom,41_HoughTransfrom,V,V,V,V,V,V,V,X,X,X,X,X,1774,11439,7,
42,IceSlipperiness,42_IceSlipperiness,V,V,V,V,V,V,V,X,X,X,X,V,1117,7779,8,
43,NearFlatUniverse,43_NearFlatUniverse,V,V,V,V,V,V,V,X,X,X,X,V,1539,9996,8,
44,IronMask,44_IronMask,V,V,V,V,V,V,V,X,X,X,X,V,1641,10986,8,
45,MaxwellDemon,45_MaxwellDemon,V,V,V,V,V,V,V,X,X,V,X,X,1376,10065,8,
46,WoodwardHoffmannRules,46_WoodwardHoffmannRules,V,V,V,V,V,V,V,X,X,X,X,X,1323,9735,7,
47,ObserverDependentVacuum,47_ObserverDependentVacuum,V,V,V,V,V,V,V,X,X,X,X,V,1296,8983,8,
48,three_body,48_three_body,V,V,V,V,V,V,V,X,X,X,X,V,1328,9308,8,
49,IVFmtDNA,49_IVFmtDNA,V,V,V,V,V,V,V,X,X,X,X,X,1649,11952,7,
50,LangtonsAnt,50_LangtonsAnt,V,V,V,V,V,V,V,X,X,X,X,V,1355,9180,8,
52,QuantumSubspaceAngles,52_QuantumSubspaceAngles,X,X,V,V,V,X,V,X,X,X,X,X,770,5156,4,
53,BodySwappingPuzzle,53_BodySwappingPuzzle,V,V,V,V,V,V,V,X,X,X,X,X,957,5972,7,
